,CarPlate,Price,Company,Number,Number of digits,Front Characters,Suffix characters,Total number of characters,Same digit througout,Sub repeated digits,Auspicious,Antique,suffix_number,first_letter,Price Range,Natural_break,number_group,antique_Sub_repeated_digits,First Letter
62,EG88B,330000,CarPlateMart,88,2,EG,B,5,1,1,1,1,19,4,25,22,2,1,E
63,SF71M,300000,Carplate,71,2,SF,M,5,0,0,0,0,10,18,24,21,2,0,S
64,SS222B,300000,Carplate,222,3,SS,B,6,1,1,0,0,19,18,24,21,3,1,S
65,EV300J,300000,Carplate,300,3,EV,J,6,0,1,0,1,13,4,24,21,4,1,E
66,ES11J,288000,Carplate,11,2,ES,J,5,1,1,0,1,13,4,24,21,1,1,E
67,SE98S,288000,Carplate,98,2,SE,S,5,0,0,1,0,7,18,24,21,2,0,S
68,SF35T,288000,Carplate,35,2,SF,T,5,0,0,0,0,6,18,24,21,1,0,S
69,SR28B,288000,SGCarMart,28,2,SR,B,5,0,0,1,0,19,18,24,21,1,0,S
70,SR98Z,280000,Carplate,98,2,SR,Z,5,0,0,1,0,2,18,24,21,2,0,S
71,SF111G,280000,Carplate,111,3,SF,G,6,1,1,0,0,15,18,24,21,2,1,S
72,ST828Z,280000,Carplate,828,3,ST,Z,6,0,0,1,0,2,18,24,21,8,0,S
73,SL22Z,268800,SGCarMart,22,2,SL,Z,5,1,1,0,0,2,18,24,20,1,1,S
74,SDH1H,268000,Carplate,1,1,SDH,H,5,0,0,0,0,14,18,24,20,1,0,S
75,SNF1A,258000,SGCarMart,1,1,SNF,A,5,0,0,0,0,1,18,24,20,1,0,S
76,SL8888P,250000,Carplate,8888,4,SL,P,7,1,1,1,0,9,18,24,20,45,1,S
77,SL52L,250000,Carplate,52,2,SL,L,5,0,0,0,0,11,18,24,20,1,0,S
78,S9392J,250000,Carplate,9392,4,S,J,6,0,0,0,0,13,18,24,20,48,0,S
79,QC888M,249888,SGCarMart,888,3,QC,M,6,1,1,1,0,10,16,24,20,9,1,Q
80,SC7777E,245000,CarPlateMart,7777,4,SC,E,7,1,1,0,0,16,18,24,20,40,1,S
81,ES11J,238888,SGCarMart,11,2,ES,J,5,1,1,0,1,13,4,24,20,1,1,E
82,SV22X,238000,SGCarMart,22,2,SV,X,5,1,1,0,0,4,18,24,20,1,1,S
83,SY13G,220000,CarPlateMart,13,2,SY,G,5,0,0,0,0,15,18,24,19,1,0,S
84,EX1111X,211111,CarPlateMart,1111,4,EX,X,7,1,1,0,1,4,4,24,19,11,1,E
85,SK51U,210000,Carplate,51,2,SK,U,5,0,0,0,0,5,18,24,19,1,0,S
86,SW1000Y,208000,Carplate,1000,4,SW,Y,7,0,1,0,0,3,18,24,19,10,1,S
87,SM1111M,200000,SGCarMart,1111,4,SM,M,7,1,1,0,0,10,18,23,19,11,1,S
88,SF71M,200000,CarPlateMart,71,2,SF,M,5,0,0,0,0,10,18,23,19,2,0,S
89,SM1111M,199000,Carplate,1111,4,SM,M,7,1,1,0,0,10,18,23,19,11,1,S
90,SLZ1T,188888,Carplate,1,1,SLZ,T,5,0,0,0,0,6,18,23,18,1,0,S
91,SDW1D,188888,Carplate,1,1,SDW,D,5,0,0,0,0,17,18,23,18,1,0,S
92,SDW1D,188888,SGCarMart,1,1,SDW,D,5,0,0,0,0,17,18,23,18,1,0,S
93,SJF1Y,188000,Carplate,1,1,SJF,Y,5,0,0,0,0,3,18,23,18,1,0,S
94,SJF1Y,188000,SGCarMart,1,1,SJF,Y,5,0,0,0,0,3,18,23,18,1,0,S
95,SDP1R,188000,SGCarMart,1,1,SDP,R,5,0,0,0,0,8,18,23,18,1,0,S
96,SS345E,188000,SGCarMart,345,3,SS,E,6,0,0,0,0,16,18,23,18,4,0,S
97,SY25Y,188000,SGCarMart,25,2,SY,Y,5,0,0,0,0,3,18,23,18,1,0,S
98,GG222G,180000,Carplate,222,3,GG,G,6,1,1,0,0,15,6,23,18,3,1,G
99,SY79S,180000,SGCarMart,79,2,SY,S,5,0,0,0,0,7,18,23,18,2,0,S
100,E9900S,170000,CarPlateMart,9900,4,E,S,6,0,1,0,1,7,4,23,17,50,1,E
101,SV71D,168888,Carplate,71,2,SV,D,5,0,0,0,0,17,18,23,17,2,0,S
102,SE35Z,168000,Carplate,35,2,SE,Z,5,0,0,0,0,2,18,23,17,1,0,S
103,SP34T,168000,Carplate,34,2,SP,T,5,0,0,0,0,6,18,23,17,1,0,S
104,EC48M,168000,Carplate,48,2,EC,M,5,0,0,1,1,10,4,23,17,1,1,E
105,SE728H,168000,Carplate,728,3,SE,H,6,0,0,1,0,14,18,23,17,8,0,S
106,SP34T,168000,CarPlateMart,34,2,SP,T,5,0,0,0,0,6,18,23,17,1,0,S
107,SJF1Y,168000,CarPlateMart,1,1,SJF,Y,5,0,0,0,0,3,18,23,17,1,0,S
108,EY10E,158888,CarPlateMart,10,2,EY,E,5,0,0,0,1,16,4,23,17,1,1,E
109,EU28B,158000,Carplate,28,2,EU,B,5,0,0,1,1,19,4,23,17,1,1,E
110,SKG1E,150000,SGCarMart,1,1,SKG,E,5,0,0,0,0,16,18,23,16,1,0,S
111,SY333H,150000,SGCarMart,333,3,SY,H,6,1,1,0,0,14,18,23,16,4,1,S
112,E74K,150000,CarPlateMart,74,2,E,K,4,0,0,0,1,12,4,23,16,2,1,E
113,SQ91Y,149999,Carplate,91,2,SQ,Y,5,0,0,0,0,3,18,23,16,2,0,S
114,SN44A,144000,Carplate,44,2,SN,A,5,1,1,0,0,1,18,23,16,1,1,S
115,SQ72C,138888,SGCarMart,72,2,SQ,C,5,0,0,0,0,18,18,23,16,2,0,S
116,SV54D,138800,SGCarMart,54,2,SV,D,5,0,0,0,0,17,18,23,16,1,0,S
117,ES28L,138000,Carplate,28,2,ES,L,5,0,0,1,1,11,4,23,16,1,1,E
118,SBM888M,138000,Carplate,888,3,SBM,M,7,1,1,1,0,10,18,23,16,9,1,S
119,SFD1E,138000,Carplate,1,1,SFD,E,5,0,0,0,0,16,18,23,16,1,0,S
120,EW911R,138000,Carplate,911,3,EW,R,6,0,1,0,1,8,4,23,16,9,1,E
121,ET899J,138000,Carplate,899,3,ET,J,6,0,1,1,1,13,4,23,16,9,1,E
122,ET899J,138000,Carplate,899,3,ET,J,6,0,1,1,1,13,4,23,16,9,1,E
123,ES28L,138000,SGCarMart,28,2,ES,L,5,0,0,1,1,11,4,23,16,1,1,E
124,EH38R,138000,SGCarMart,38,2,EH,R,5,0,0,1,1,8,4,23,16,1,1,E
125,SY70R,138000,SGCarMart,70,2,SY,R,5,0,0,0,0,8,18,23,16,2,0,S
126,SP8888T,138000,SGCarMart,8888,4,SP,T,7,1,1,1,0,6,18,23,16,45,1,S
127,EH38R,138000,CarPlateMart,38,2,EH,R,5,0,0,1,1,8,4,23,16,1,1,E
128,EU28B,138000,CarPlateMart,28,2,EU,B,5,0,0,1,1,19,4,23,16,1,1,E
129,SN46U,130000,Carplate,46,2,SN,U,5,0,0,0,0,5,18,23,15,1,0,S
130,SKC1B,128888,Carplate,1,1,SKC,B,5,0,0,0,0,19,18,23,15,1,0,S
131,SE9000P,128888,CarPlateMart,9000,4,SE,P,7,0,1,0,0,9,18,23,15,46,1,S
132,GU5T,128000,Carplate,5,1,GU,T,4,0,0,0,0,6,6,23,15,1,0,G
133,EY19G,128000,Carplate,19,2,EY,G,5,0,0,0,1,15,4,23,15,1,1,E
134,EY82Y,128000,Carplate,82,2,EY,Y,5,0,0,1,1,3,4,23,15,2,1,E
135,SS444C,128000,CarPlateMart,444,3,SS,C,6,1,1,0,0,18,18,23,15,5,1,S
136,EY82Y,128000,CarPlateMart,82,2,EY,Y,5,0,0,1,1,3,4,23,15,2,1,E
137,SY5555B,125000,Carplate,5555,4,SY,B,7,1,1,0,0,19,18,23,15,31,1,S
138,SW85J,125000,SGCarMart,85,2,SW,J,5,0,0,1,0,13,18,23,15,2,0,S
139,EG400H,120000,Carplate,400,3,EG,H,6,0,1,0,1,14,4,23,15,5,1,E
140,SKW1X,118000,SGCarMart,1,1,SKW,X,5,0,0,0,0,4,18,23,15,1,0,S
141,SKD1X,113999,SGCarMart,1,1,SKD,X,5,0,0,0,0,4,18,23,14,1,0,S
142,SP1800S,111888,Carplate,1800,4,SP,S,7,0,1,1,0,7,18,23,14,14,1,S
143,EL90S,110000,Carplate,90,2,EL,S,5,0,0,0,1,7,4,23,14,2,1,E
144,EE1001E,108888,Carplate,1001,4,EE,E,7,0,1,0,1,16,4,23,14,10,1,E
145,SDW5T,108888,Carplate,5,1,SDW,T,5,0,0,0,0,6,18,23,14,1,0,S
146,SN53Z,108888,SGCarMart,53,2,SN,Z,5,0,0,0,0,2,18,23,14,1,0,S
147,SBM5U,108888,CarPlateMart,5,1,SBM,U,5,0,0,0,0,5,18,23,14,1,0,S
148,EV8888C,108888,CarPlateMart,8888,4,EV,C,7,1,1,1,1,18,4,23,14,45,1,E
149,EC66K,108000,Carplate,66,2,EC,K,5,1,1,0,1,12,4,23,14,2,1,E
150,SBW7L,108000,Carplate,7,1,SBW,L,5,0,0,0,0,11,18,23,14,1,0,S
151,SV45E,108000,CarPlateMart,45,2,SV,E,5,0,0,0,0,16,18,23,14,1,0,S
152,EM6666L,106666,Carplate,6666,4,EM,L,7,1,1,0,1,11,4,23,14,35,1,E
153,EK300S,103888,Carplate,300,3,EK,S,6,0,1,0,1,7,4,23,14,4,1,E
154,SNF60D,100666,SGCarMart,60,2,SNF,D,6,0,0,0,0,17,18,23,14,2,0,S
155,SDB5D,100000,Carplate,5,1,SDB,D,5,0,0,0,0,17,18,22,14,1,0,S
156,SCK5T,100000,Carplate,5,1,SCK,T,5,0,0,0,0,6,18,22,14,1,0,S
157,EZ62A,100000,Carplate,62,2,EZ,A,5,0,0,0,1,1,4,22,14,2,1,E
158,EY20B,100000,Carplate,20,2,EY,B,5,0,0,0,1,19,4,22,14,1,1,E
159,ST2616E,100000,Carplate,2616,4,ST,E,7,0,0,0,0,16,18,22,14,18,0,S
160,SFA3R,100000,Carplate,3,1,SFA,R,5,0,0,0,0,8,18,22,14,1,0,S
161,EG6699Z,100000,Carplate,6699,4,EG,Z,7,0,1,0,1,2,4,22,14,35,1,E
162,SKK9M,99999,SGCarMart,9,1,SKK,M,5,0,0,0,0,10,18,22,14,1,0,S
163,EL70A,99000,SGCarMart,70,2,EL,A,5,0,0,0,1,1,4,22,14,2,1,E
164,SS9090E,99000,SGCarMart,9090,4,SS,E,7,0,0,0,0,16,18,22,14,47,0,S
165,EX16U,98000,Carplate,16,2,EX,U,5,0,0,0,1,5,4,22,14,1,1,E
166,SW29Y,98000,CarPlateMart,29,2,SW,Y,5,0,0,0,0,3,18,22,14,1,0,S
167,ES60S,96000,Carplate,60,2,ES,S,5,0,0,0,1,7,4,22,13,2,1,E
168,EK91U,91000,Carplate,91,2,EK,U,5,0,0,0,1,5,4,22,13,2,1,E
169,GK9K,90000,Carplate,9,1,GK,K,4,0,0,0,0,12,6,21,13,1,0,G
170,SY9999C,90000,Carplate,9999,4,SY,C,7,1,1,0,0,18,18,21,13,50,1,S
171,SP5555Z,89000,Carplate,5555,4,SP,Z,7,1,1,0,0,2,18,21,13,31,1,S
172,SAK18E,89000,Carplate,18,2,SAK,E,5,0,0,1,0,16,18,21,13,1,0,S
173,SFW5U,88888,Carplate,5,1,SFW,U,5,0,0,0,0,5,18,21,13,1,0,S
174,EE65C,88888,Carplate,65,2,EE,C,5,0,0,0,1,18,4,21,13,2,1,E
175,SY444X,88888,Carplate,444,3,SY,X,6,1,1,0,0,4,18,21,13,5,1,S
176,SMZ9K,88888,Carplate,9,1,SMZ,K,5,0,0,0,0,12,18,21,13,1,0,S
177,EC60B,88888,Carplate,60,2,EC,B,5,0,0,0,1,19,4,21,13,2,1,E
178,EQ60C,88888,Carplate,60,2,EQ,C,5,0,0,0,1,18,4,21,13,2,1,E
179,ET85R,88888,Carplate,85,2,ET,R,5,0,0,1,1,8,4,21,13,2,1,E
180,EG39T,88888,Carplate,39,2,EG,T,5,0,0,0,1,6,4,21,13,1,1,E
